medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Assesses neonates 1 and 5 minutes after birth.,apgar-score,APGAR Score,"Joshua Beiner, MD",APGAR Score,Assesses neonates 1 & 5 mins postpartum.,Pregnancy,"['Cardiac', 'Neurologic', 'Respiratory']","['peds', 'newborn', 'neonate']","['Formula', 'Prognosis']",Abdominal Pain,"['Critical Care', 'Critical Care (Neonatal)', 'Emergency Medicine', 'OB-Gyn', 'Pediatrics']",23,Dr. Virginia Apgar,True,23.1
Diagnoses appendicitis based on clinical and laboratory findings.,appendicitis-inflammatory-response-air-score,Appendicitis Inflammatory Response (AIR) Score,[],AIR Score,Diagnoses appendicitis.,Appendicitis,Gastrointestinal,"['appendicitis', 'appy', 'appendectomy', 'appendicectomy', 'air', 'alvarado', 'acute appendicitis', 'air score']",Diagnosis,"['Abdominal Pain', 'Pain', 'Vomiting']","['Emergency Medicine', 'Pediatrics', 'Surgery (General)']",3984,"['Dr. Manne Andersson', 'Dr. Roland E. Andersson']",False,
"<span id=""docs-internal-guid-da7013b9-e0bf-ea28-dafc-e150e8e57140"">Predicts risk of pulmonary complications after surgery, including respiratory failure. ",ariscat-score-postoperative-pulmonary-complications,ARISCAT Score for Postoperative Pulmonary Complications,[],ARISCAT Score,Post-op pulmonary complications.,"['Respiratory Distress', 'Pneumonia']",Respiratory,"['ARISCAT', 'postoperative', 'pulmonary complications', 'anesthesia risk']",Prognosis,Shortness of Breath,"['Anesthesiology', 'Surgery (General)', 'Surgery (Cardiothoracic)', 'Surgery (Vascular)', 'Critical Care']",10022,Dr. Jaume Canet,False,
Interprets ABG.,arterial-blood-gas-abg-analyzer,Arterial Blood Gas (ABG) Analyzer,[],ABG Analysis,Interprets ABG.,"['Acid-Base Disturbance', 'Anxiety', 'Asthma', 'Burns', 'COPD', 'Drug/Alcohol Use', 'Ingestion/Overdose', 'Pulmonary Embolism', 'Renal Failure', 'Trauma']","['Endocrine and Metabolic', 'Gastrointestinal', 'Renal', 'Respiratory']","['gas', 'vbg', 'ph', 'acid', 'base']",Formula,"['Diarrhea', 'Intoxication/Overdose', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Endocrinology', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Pulmonology', 'Surgery (General)', 'Toxicology', 'Surgery (Trauma)']",1741,Dr. Jonathan Chen,False,
"<span id=""docs-internal-guid-1a2c1ef0-f972-99c5-06f6-33a1d528437f"">Classifies health of patients prior to surgery.",asa-physical-status-asa-classification,ASA Physical Status/ASA Classification,[],ASA Physical Status,Pre-op classification.,Any/All,Any/All,"['ASA physical status', 'operative risk', 'surgical risk', 'ASA class', 'physical state']",Prognosis,Any/All,"['Anesthesiology', 'Surgery (Cardiothoracic)', 'Surgery (General)', 'Surgery (Plastic)', 'Surgery (Trauma)', 'Surgery (Vascular)', 'Oral and Maxillofacial Surgery']",10024,Dr. Meyer Saklad,False,
Diagnoses axial spondyloarthritis according to Assessment of Spondyloarthritis International Society (ASAS) criteria.,asas-criteria-axial-spondyloarthritis-spa,ASAS Criteria for Axial Spondyloarthritis (SpA),[],ASAS Criteria for Axial SpA,Axial SpA diagnosis.,Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['Spondyloarthritis', 'spa', 'spondylitis', 'sacroiliitis', 'Assessment of Spondyloarthritis International Society', 'si joint']",Diagnosis,Pain,Rheumatology,306,Dr. Martin Rudwaleit,False,
Diagnoses peripheral spondyloarthritis according to Assessment of SpondyloArthritis International Society (ASAS) criteria.,asas-criteria-peripheral-spondyloarthritis-spa,ASAS Criteria for Peripheral SpondyloArthritis (SpA),[],ASAS Criteria for Peripheral SpA,Peripheral SpA diagnosis.,Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['ASAS', 'ASAS criteria', 'Peripheral SpondyloArthritis', 'SpA']",Diagnosis,"['Joint Pain', 'Pain']",Rheumatology,10032,Dr. Martin Rudwaleit,False,
Determines 10-year risk of heart disease or stroke.,ascvd-atherosclerotic-cardiovascular-disease-2013-risk-calculator-aha-acc,ASCVD (Atherosclerotic Cardiovascular Disease) 2013 Risk Calculator from AHA/ACC,[],2013 ASCVD Risk Calculator,10-year heart disease or stroke risk.,"['Diabetes Mellitus', 'Dyslipidemia', 'Myocardial Infarction', 'Stroke/TIA']",Cardiac,"['Acs', 'mi', 'stroke', 'cva', 'tia', 'ten', 'ldl', 'diabetes', 'pooled cohort equation']","['Formula', 'Prognosis']","['Chest Pain', 'Shortness of Breath']","['Cardiology', 'Family Practice', 'Internal Medicine', 'Pharmacy', 'Primary Care']",3398,Dr. David Goff,False,
Determines 10-year risk of heart disease or stroke and provides statin recommendations.,ascvd-atherosclerotic-cardiovascular-disease-risk-algorithm-including-known-ascvd-aha-acc,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Algorithm including Known ASCVD from AHA/ACC,[],ASCVD Risk Algorithm,10-year heart disease or stroke risk and statin recommendations.,"['Diabetes Mellitus', 'Dyslipidemia', 'Myocardial Infarction', 'Stroke/TIA']",Cardiac,"['Acs', 'mi', 'stroke', 'cva', 'tia', 'ten', 'ldl', 'diabetes', 'pooled cohort equation']","['Algorithm', 'Prognosis']","['Chest Pain', 'Shortness of Breath']","['Cardiology', 'Family Practice', 'Internal Medicine', 'Pharmacy', 'Primary Care']",3400,Dr. David Goff,False,
Determines the likelihood of hepatic fibrosis and cirrhosis in patients with hepatitis C.,ast-platelet-ratio-index-apri,AST to Platelet Ratio Index (APRI),[],APRI,Predicts hepatitis C-related hepatic fibrosis and cirrhosis.,Hepatitis,Gastrointestinal,"['cirrhosis', 'hep c', 'fibrosis', 'plt', 'amino']",Formula,Abdominal Pain,"['Gastroenterology', 'Hepatology', 'Internal Medicine']",3094,Dr. Anna S. Lok,False,
Determines likelihood of pediatric patients developing childhood asthma.,asthma-predictive-index-api,Asthma Predictive Index (API),[],Asthma Predictive Index,Likelihood of childhood asthma.,Asthma,Respiratory,"['Asthma', 'diagnosis', 'student']",Diagnosis,"['Shortness of Breath', 'Wheezing']","['Family Practice', 'Internal Medicine', 'Pediatrics', 'Primary Care', 'Pulmonology', 'Allergy and Immunology']",3381,Dr. José Castro-Rodriguez,False,
Predicts 90-day poor outcome in patients with acute ischemic stroke.,astral-score-stroke,ASTRAL Score for Ischemic Stroke,"Benjamin Kummer, MD",ASTRAL Score,90-day poor outcome in stroke.,Stroke/TIA,"['Cardiac', 'Neurologic']","['astral', 'athens', 'stroke score', 'cva', 'tia', 'ischemic stroke', 'brain attack']",Prognosis,"['AMS', 'Neurologic Deficit', 'Weakness']","['Cardiology', 'Critical Care (Neurologic)', 'Neurology']",3967,"['Dr. George Ntaios', 'Dr. Patrik Michel']",True,3967.1
Predicts risk of progression of asymptomatic (smoldering) multiple myeloma to active myeloma or amyloidosis.,asymptomatic-myeloma-prognosis,Asymptomatic Myeloma Prognosis,"Randall Pierce, MD",Asymptomatic Myeloma Prognosis,Predicts risk of progression to active myeloma or amyloidosis.,"['Cancer', 'Multiple Myeloma', 'Hematologic Malignancy']","['Hematologic', 'Oncologic']","['mm', 'multiple myeloma', 'myeloma', 'smoldering myeloma', 'asymptomatic myeloma', 'prognosis']",Prognosis,"['Extremity Pain', 'Neck Pain', 'Pain', 'Weakness']",Hematology and Oncology,3929,Dr. Robert A. Kyle,True,3929.1
Predicts response to therapy in patients with C. diff.,atlas-score-clostridium-difficile-infection,ATLAS Score for Clostridium Difficile Infection,[],ATLAS Score for C. Diff. Colitis,C. diff therapy response. ,Sepsis,"['Gastrointestinal', 'Infectious']","['Atlas', 'c. diff. Colitis', 'c diff', 'c diff Colitis', 'atlas score', 'Clostridium Difficile Infection']",Prognosis,"['Diarrhea', 'Fever', 'Abdominal Pain']","['Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Family Practice']",10218,Dr. Mark A. Miller,False,
Determines bleeding risk for patients on warfarin.,atria-bleeding-risk-score,ATRIA Bleeding Risk Score,"Calvin Hwang, MD",ATRIA Bleeding Risk,Bleeding risk from warfarin.,"['Arrhythmia', 'Atrial Fibrillation', 'Stroke/TIA']","['Cardiac', 'Hematologic', 'Neurologic']","['coumadin', 'warfarin', 'afib', 'stroke risk']",Prognosis,"['Bleeding', 'Palpitations']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Neurology', 'Primary Care']",1718,Dr. Daniel Singer,True,1718.1
Determines stroke risk in patients with atrial fibrillation.,atria-stroke-risk-score,ATRIA Stroke Risk Score,[],ATRIA Stroke Risk,Stroke risk in Afib.,"['Atrial Fibrillation', 'Stroke/TIA']","['Cardiac', 'Hematologic', 'Neurologic']","['stroke', 'atrial fibrillation', 'CVA', 'ATRIA', 'risk', 'prognosis', 'stroke risk']",Diagnosis,"['Dizziness', 'Palpitations', 'Weakness']","['Cardiology', 'Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Neurology', 'Primary Care']",1842,Dr. Daniel Singer,False,
"Doses atropine for cholinesterase inhibitor toxicity (prescribed drugs, nerve gas, insecticides).",atropine-dosing-cholinesterase-inhibitor-toxicity,Atropine Dosing for Cholinesterase Inhibitor Toxicity,"Philip DiSalvo, MD",Atropine Dosing,Cholinesterase inhibitor reversal.,Ingestion/Overdose,Any/All,"['ach', 'cholinesterase', 'ache', 'nerve agent', 'nerve gas', 'organophosphates', 'neostigmine']","['Formula', 'Treatment']","['AMS', 'Vomiting']","['Critical Care', 'Emergency Medicine', 'Toxicology']",2664,Dr. Lewis Goldfrank,True,2664.1
"Identifies at-risk drinkers (i.e., binge drinking) who may not be alcohol-dependent.",audit-c-alcohol-use,AUDIT-C for Alcohol Use,"['Katherine E. Taylor, MD', 'Jonathan Avery, MD']",AUDIT-C,"Screens for at-risk drinkers, not necessarily dependence.","['Alcoholism', 'Drug/Alcohol Use']",Psychiatric,"['Alcoholism', 'Diagnosis', 'Psych', 'rule out', 'Etoh', 'abuse', 'intoxication', 'auditc', 'audit c']",Diagnosis,Intoxication/Overdose,"['Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Psychiatry']",2021,Dr. Katharine Bradley,True,2021.1
"Estimates risk of developing type 2 diabetes, mainly in Australian patients.",australian-type-2-diabetes-risk-ausdrisk-assessment-tool,Australian Type 2 Diabetes Risk (AUSDRISK) Assessment Tool,"Stuart McMaster, MBChB",AUSDRISK,Estimates diabetes risk.,Diabetes Mellitus,Endocrine and Metabolic,"['ausdrisk', 'australian', 'diabetes', 'dm', 't2dm', 'type 2 diabetes', 'aus d risk']","['Diagnosis', 'Prognosis']",Preventive Care/Screening,"['Endocrinology', 'Family Practice', 'Primary Care']",3931,Dr. Lei Chen,True,
"<span id=""docs-internal-guid-6295b8ee-7fff-a9b0-cf80-f52c39cf4f03"">Predicts risk of delirium during hospitalization.",awol-score-delirium,AWOL Score for Delirium,[],AWOL Score for Delirium,Delirium risk.,"['Delirium', 'Dementia']","['Neurologic', 'Psychiatric']","['Delirious', 'risk of delirium']",Prognosis,"['Agitation', 'AMS', 'Anxious']","['Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Psychiatry']",10090,Dr. Vanja C. Douglas,False,
Rules out bacterial meningitis.,bacterial-meningitis-score-children,Bacterial Meningitis Score for Children,"Cullen Clark, MD",Bacterial Meningitis Score,Likelihood of bacterial meningitis in children.,Meningitis,"['Immunologic', 'Infectious', 'Neurologic']","['gram stain', 'csf protein', 'anc', 'seizures', 'spinal fluid', 'bms', 'bacterial meningitis', 'aseptic meningitis', 'csf', 'spinal tap', 'lumbar puncture', 'LP', 'cerebrospinal fluid', 'spinal fluid', 'pleocytosis', 'meningitis']","['Diagnosis', 'Rule Out']","['Agitation', 'Fever', 'Headache', 'Seizure']","['Critical Care (Pediatric)', 'Emergency Medicine', 'Family Practice', 'Infectious Disease', 'Pediatrics']",3911,Dr. Lise Nigrovic,True,3911.1
Predicts mortality in acute COPD exacerbation.,bap-65-score-acute-exacerbation-copd,BAP-65 Score for Acute Exacerbation of COPD,"Akhil Khosla, MD",BAP-65,"COPD mortality, acute exacerbation.","['Asthma', 'COPD', 'Pneumonia', 'COVID-19', 'Coronavirus']",Respiratory,"['bap-65', 'bap 65', 'bap65', 'aecopd', 'copd', 'coad', 'covid', 'covid-19', 'coronavirus']",Prognosis,"['Dyspnea', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Pulmonology']",4019,Dr. Andrew Shorr,True,
Predicts risk of advanced fibrosis in NAFLD patients.,bard-score-nafld-fibrosis,BARD Score for NAFLD Fibrosis,"Ahmad Khan, MD",BARD Score,Advanced fibrosis risk.,"['Obesity', 'Diabetes Mellitus', 'Cirrhosis']",Endocrine and Metabolic,"['BARD', 'fibrosis', 'NAFLD', 'Bard NAFLD', 'Bard score']",Diagnosis,"['Abdominal Pain', 'Fatigue']","['Internal Medicine', 'Hospitalist Medicine', 'Family Practice', 'Primary Care', 'Hepatology', 'Critical Care']",10086,Dr. Stephen A. Harrison,True,10086.1
Assesses ability to swallow without aspiration after stroke.,barnes-jewish-hospital-stroke-dysphagia-screen,Barnes Jewish Hospital Stroke Dysphagia Screen,"Daniel Runde, MD",Barnes Jewish Hospital Stroke Dysphagia Screen,Clears patient to swallow after stroke.,Stroke/TIA,Neurologic,"['Dysphagia', 'prognosis', 'morbidity', 'stroke', 'speech pathology', 'aspiration', 'rehab', 'barnes', 'jewish', 'screen']","['Algorithm', 'Diagnosis', 'Prognosis', 'Rule Out', 'Treatment']",Weakness,"['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology']",1894,Mr. Jeff Edmiaston,True,
"Assesses functional independence, generally in stroke patients.",barthel-index-activities-daily-living-adl,Barthel Index for Activities of Daily Living (ADL),[],Barthel Index,Degree of independence for stroke rehabilitation.,Stroke/TIA,Neurologic,"['stroke', 'rehab', 'independence', 'ability', 'discharge ability', 'geriatrics', 'psych', 'neuro', 'neuro']",Prognosis,"['Neurologic Deficit', 'Pain', 'Weakness']","['Critical Care (Neurologic)', 'Family Practice', 'Geriatrics', 'Internal Medicine', 'Neurology', 'Pain Management']",3912,"Dorothea W. Barthel, PT",False,
Calculates daily energy expenditure.,basal-energy-expenditure,Basal Energy Expenditure,[],Basal Energy Expenditure,Estimates minimum caloric requirements.,"['Malnutrition', 'Obesity']","['Endocrine and Metabolic', 'Musculoskeletal']","['calories', 'metabolism', 'harris', 'Benedict', 'harris-benedict']",Formula,Weight Loss/Gain,"['Critical Care', 'Endocrinology', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'OB-Gyn', 'Pediatrics', 'Rehabilitation Medicine', 'Sports Medicine', 'Clinical Nutrition', 'Pharmacy']",25,Dr. J. P. Flatt,False,
Stratifies blast injuries of lower limbs to guide treatment. ,bastion-classification-lower-limb-blast-injuries,Bastion Classification of Lower Limb Blast Injuries,"Jennie Kim, MD",Bastion Classification,Lower limb blast injury.,Trauma,Any/All,"['bastion classification', 'blast injury', 'lower limb', 'improvised explosive device', 'trauma', 'injury', 'explosion-related injuries', 'explosive-related injuries']","['Prognosis', 'Treatment']",Injury/Trauma,"['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (Trauma)']",4030,Dr. Neal Jacobs,True,
Quantifies post-operative pain for children aged 1-7 years.,behavioral-observational-pain-scale-bops-post-op-pediatric-pain,Behavioral Observational Pain Scale (BOPS) for Post-Op Pediatric Pain,[],Behavioral Observational Pain Scale,Post-op pain scale for children.,"['Acute Pain', 'Anxiety']",Neurologic,"['peds', 'child', 'pediatrics', 'pain']","['Prognosis', 'Treatment']","['Anxious', 'Pain']","['Anesthesiology', 'Hospitalist Medicine', 'Internal Medicine', 'Pain Management', 'Pediatrics', 'Surgery (General)']",3625,Dr. Kanwaljeet J. S. Anand,False,
Quantifies pain in intubated patients.,behavioral-pain-scale-bps-pain-assessment-intubated-patients,Behavioral Pain Scale (BPS) for Pain Assessment in Intubated Patients,[],Behavioral Pain Scale,Pain scale in intubated patients.,Delirium,Neurologic,"['critical', 'sedation', 'sedated', 'icu']","['Treatment', 'Prognosis']",AMS,"['Pain Management', 'Neurology', 'Hospitalist Medicine', 'Critical Care (Neurologic)', 'Critical Care', 'Anesthesiology']",3622,Dr. Jean-François Payen,False,
"<span id=""docs-internal-guid-1521c044-7fff-0fa2-49b4-3b1ade6b71ff"">Provides equivalents between different benzodiazepines.",benzodiazepine-conversion-calculator,Benzodiazepine Conversion Calculator,"Jenny L. Koehl, PharmD",Benzodiazepine Conversion Calculator,Benzodiazepine conversion.,"['Alcoholism', 'Anxiety', 'Dementia', 'Depression/Suicidality', 'Epilepsy', 'Seizure Disorder']","['Neurologic', 'Psychiatric']","['Benzodiazepine', 'conversion calculator', 'benzo conversion']","['Formula', 'Treatment']","['Anxious', 'Seizure']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Pharmacy', 'Primary Care', 'Psychiatry', 'Toxicology']",10091,OTHER,True,
Provides diagnostic criteria for acute respiratory distress syndrome (ARDS).,berlin-criteria-acute-respiratory-distress-syndrome,Berlin Criteria for Acute Respiratory Distress Syndrome,"Graham Walker, MD",Berlin Criteria for ARDS,ARDS diagnostic criteria.,"['Acute Respiratory Distress Syndrome', 'COVID-19', 'Coronavirus']",Respiratory,"Berlin definition, berlin criteria, Berlin Criteria for Acute Respiratory Distress Syndrome, Berlin Criteria for ARDS, ards, ards diagnosis, covid-19, coronavirus, covid, covid19, covid 19",Diagnosis,"['Dyspnea', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10294,Dr. V. Marco Ranieri,True,
Calculates the total body bicarbonate deficit.,bicarbonate-deficit,Bicarbonate Deficit,[],Bicarbonate Deficit,Calculates total body bicarb deficit.,"['Acid-Base Disturbance', 'Diabetes Mellitus', 'Renal Failure', 'Sepsis', 'Trauma']","['Endocrine and Metabolic', 'Gastrointestinal', 'Renal']","['base excess', 'base deficit']",Formula,Diarrhea,"['Critical Care', 'Emergency Medicine', 'Endocrinology', 'Gastroenterology', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Surgery (Trauma)']",27,Dr. Gregory Schmidt,False,
"<span id=""docs-internal-guid-66ececc1-89dd-c40b-2b6d-dee1321efd45"">Stages chronic lymphocytic leukemia, similar to <calculator id=""10054"">Rai Staging System</calculator>.",binet-staging-system-chronic-lymphocytic-leukemia-cll,Binet Staging System for Chronic Lymphocytic Leukemia (CLL),[],Binet Staging for CLL,CLL stage classification.,"['Hematologic Malignancy', 'Cancer']","['Oncologic', 'Hematologic']","['Binet staging system', 'chronic lymphocytic leukemia ', 'CLL']",Diagnosis,"['Fatigue', 'Fever', 'Abdominal Pain', 'Weight Loss/Gain']",Hematology and Oncology,10053,Dr. Jacques-Louis Binet,False,
